87 -12 -1
-96 48 -1
12 14 -1
-59 -91 -1
-88 81 -1
-93 83 -1
-89 -73 -1
94 44 -1
-38 79 -1
-83 100 -1
-92 8 1
-56 72 -1
37 34 -1
47 90 -1
-100 33 -1
-98 -67 1
56 3 -1
6 -24 -1
99 -25 -1
-54 98 -1
-30 -2 1
-45 -40 -1
26 -11 1
70 45 -1
-1 59 -1
-43 -89 1
-81 51 -1
-9 80 -1
85 -43 -1
95 -91 1
79 13 -1
-36 -71 1
-48 -5 1
-87 -70 1
-74 67 -1
59 -4 1
-61 -18 1
26 -77 1
41 4 -1
93 20 -1
-78 40 -1
-4 -40 1
30 -31 -1
7 -44 1
-63 82 -1
-3 -66 1
-35 -30 1
73 19 -1
22 -32 -1
-42 -26 1
-77 86 -1
-80 -34 1
-31 17 -1
-56 68 -1
-22 19 -1
-3 -66 1
-16 -47 1
43 51 -1
-47 42 -1
-7 87 -1
-35 96 -1
-13 34 -1
39 -37 1
-13 29 -1
-76 -47 -1
31 92 -1
68 58 -1
48 -62 -1
-41 -44 1
-67 59 -1
37 -68 -1
95 -45 1
64 -28 1
-31 3 -1
-26 -23 -1
-79 -82 1
32 -22 1
-64 62 -1
-30 -20 1
-79 -51 1
-11 49 1
15 -46 1
-84 -88 -1
29 28 -1
76 63 -1
47 39 -1
48 15 -1
-76 -31 -1
7 -3 1
-94 92 -1
-47 83 -1
98 7 -1
33 56 1
-96 -90 -1
-59 -64 -1
-44 -34 -1
-69 -43 1
74 73 -1
-34 -62 -1
11 76 -1
